,Name,coeff,Salary
111,Keyon Dooling,0.2653354882688701,8803574.0
112,Jerry Stackhouse,0.2619423482451047,5126334.0
113,Chauncey Billups,0.2603188016530558,35300064.0
114,Jeff Ayres,0.25731178368910823,7452389.0
115,Jon Brockman,0.2537146336395004,6000000.0
116,Nikola Mirotic,0.2532637224505402,32546175.0
117,Daequan Cook,0.24490778932858878,12048096.0
118,Jordan Williams,0.24118106614112747,3707397.0
119,Rodrigue Beaubois,0.23856429521413297,9240266.0
120,DeMarre Carroll,0.238381918628575,21455640.0
121,Mickael Pietrus,0.23752060644449113,13705956.0
122,Josh Smith,0.23416099724594142,53824276.0
123,Julian Wright,0.2328187401300694,17148342.0
124,Alan Anderson,0.2301930613447501,8750344.8
125,Elijah Millsap,0.22905982568675098,3260370.0
126,JaMychal Green,0.22343372736250355,2938062.0
127,George Hill,0.2222039454136153,34394882.0
128,Mirza Teletovic,0.22100393916564343,22780725.0
129,Nikola Pekovic,0.22048569470335308,49915800.0
130,Terrence Ross,0.2202350537229628,17384755.5
131,Evan Fournier,0.21845951959009788,9834367.5
132,Mason Plumlee,0.21598626236600074,8142480.0
133,Nenad Krstic,0.21563300569689128,33258696.0
134,John Jenkins,0.21521738900200676,7136442.0
135,Tobias Harris,0.2148201647782356,27468520.8
136,DeMar DeRozan,0.21478274434530298,38792380.0
137,Wesley Matthews,0.21387048899683414,49304260.0
138,Al Harrington,0.21349730400118525,38279600.0
139,Quinton Ross,0.21276048796163133,6200052.0
140,Patty Mills,0.21160855847525054,10790834.0
141,Zydrunas Ilgauskas,0.20970537068481965,8302390.0
142,JR Smith,0.2069284801338175,28983522.0
143,Mike Dunleavy,0.20676325810422383,28504219.0
144,Cartier Martin,0.20399030079258618,4429277.0
145,Paul George,0.19943633032473101,43558119.0
146,Dante Exum,0.19900944152754843,22178160.0
147,Jared Jeffries,0.19847806684718614,5101262.0
148,Pero Antic,0.1981114686507308,7350000.0
149,Steve Blake,0.19797187338501387,20247465.0
150,Brian Cook,0.1920478290192523,6447784.0
151,Cory Jefferson,0.18933562918870195,1671135.0
152,Elfrid Payton,0.18830776584490863,14710680.0
153,Mike Bibby,0.1873503985909386,3849776.0
154,Dwight Powell,0.18724915019927377,4057185.0
155,James Singleton,0.18492543827796257,2666718.0
156,DeAndre Jordan,0.17978732123738306,64036016.0
157,Phil Pressey,0.17851772438141222,2724768.0
158,Troy Murphy,0.175826457183306,3819622.0
159,Jason Collins,0.17444226743925723,4258287.0
160,Garrett Temple,0.17250927619011402,4011678.0
161,Nikola Jokic,0.17058608648392018,7800000.0
162,Henry Walker,0.16875175445188445,4705737.6
163,Ray Allen,0.16647978613553305,39687150.0
164,Donte Greene,0.16534654426517056,8581056.0
165,Kostas Papanikolaou,0.16340273598096844,16793955.0
166,Jamaal Tinsley,0.1589935783521108,8113086.0
167,David Lee,0.15871624521775984,66129671.0
168,Nate Wolters,0.15800536146682717,3949446.0
169,Carlos Arroyo,0.15735639676128846,1176042.0
170,Boris Diaw,0.15678344047750892,33443658.0
171,Boban Marjanovic,0.15488950901098672,7200000.0
172,Chuck Hayes,0.1538957462508305,25573526.0
173,Toney Douglas,0.1501588110334555,7157054.0
174,Jeff Withey,0.1486927999650549,4507876.0
175,Emmanuel Mudiay,0.14727261100515193,18613440.0
176,Tyson Chandler,0.14600770093225832,81259451.0
177,Jeff Foster,0.1433907129013447,25310000.0
178,Quincy Miller,0.14292823620306896,3640309.5
179,Ryan Hollins,0.1425909866932829,5504815.0
180,Robbie Hummel,0.14200050761717395,4110540.0
181,Jabari Parker,0.14097256742673064,30249000.0
182,Arron Afflalo,0.14089155272043336,40459577.0
183,Marvin Williams,0.1396202960539745,44550000.0
184,Clint Capela,0.1364481406845474,7295760.0
185,Anthony Randolph,0.1356954467896836,12152341.2
186,Cleanthony Early,0.13560151307871096,4057185.0
187,Donatas Motiejunas,0.13048863599473198,9834367.5
188,Omer Asik,0.12723240449202522,37915921.0
189,Peja Stojakovic,0.1265688101085811,2412390.0
190,Anthony Tolliver,0.12396403694422314,11988682.0
191,Landry Fields,0.12293557769089429,23982958.8
192,Chris Babb,0.12280313536379475,3683220.0
193,Kevin Jones,0.12224215677604597,2340162.0
194,Patrick Patterson,0.12095699095910158,21085303.0
195,Hamed Haddadi,0.11948337903370852,8400000.0
196,DeQuan Jones,0.11885906800077699,2841624.0
