	PLAYER	2021/22 	2022/23	2023/24	2024/25
628.	Shaq Buchanan	$53,176	$0	$0	$0
628.	Jon Teske	$53,176	$0	$0	$0
628.	Aric Holman	$53,176	$0	$0	$0
628.	Javin DeLaurier	$53,176	$0	$0	$0
628.	Tyler Hall	$53,176	$0	$0	$0
628.	Rob Edwards	$53,176	$0	$0	$0
628.	Aleem Ford	$53,176	$0	$0	$0
628.	MJ Walker	$53,176	$0	$0	$0
628.	Jarron Cumberland	$53,176	$0	$0	$0
628.	Cameron McGriff	$53,176	$0	$0	$0
628.	Ade Murkey	$53,176	$0	$0	$0
628.	Jaime Echenique	$53,176	$0	$0	$0
628.	Jordan Goodwin	$53,176	$0	$0	$0
628.	Craig Sword	$53,176	$0	$0	$0
651.	Luca Vildoza	$42,789	$1,563,518	$0	$0
652.	Zavier Simpson	$37,223	$0	$0	$0
653.	Mfiondu Kabengele	$19,186	$0	$0	$0
654.	Melvin Frazier	$13,294	$0	$0	$0
