	PLAYER	2021/22 	2022/23	2023/24	2024/25
297.	Avery Bradley	$2,641,691	$0	$0	$0
297.	Wayne Ellington	$2,641,691	$0	$0	$0
297.	Dwight Howard	$2,641,691	$0	$0	$0
297.	Udonis Haslem	$2,641,691	$0	$0	$0
297.	Markieff Morris	$2,641,691	$0	$0	$0
297.	E'Twaun Moore	$2,641,691	$0	$0	$0
297.	Paul Millsap	$2,641,691	$0	$0	$0
311.	Grant Williams	$2,617,800	$4,306,281	$6,235,494	$0
312.	Tyrese Maxey	$2,602,920	$2,726,880	$4,343,920	$6,259,588
313.	Keon Johnson	$2,553,240	$2,681,040	$2,808,720	$4,474,291
314.	Darius Bazley	$2,513,040	$4,264,628	$6,205,035	$0
315.	Trey Lyles	$2,500,000	$2,625,000	$0	$0
316.	Zeke Nnaji	$2,498,760	$2,617,800	$4,306,281	$6,235,495
317.	Isaiah Jackson	$2,451,240	$2,573,760	$2,696,280	$4,435,380
318.	Ty Jerome	$2,412,840	$4,220,057	$6,169,723	$0
319.	Andre Drummond	$2,401,537	$0	$0	$0
319.	Austin Rivers	$2,401,537	$0	$0	$0
319.	Kent Bazemore	$2,401,537	$0	$0	$0
319.	Hassan Whiteside	$2,401,537	$0	$0	$0
323.	Otto Porter	$2,389,641	$0	$0	$0
323.	Victor Oladipo	$2,389,641	$0	$0	$0
323.	Tony Snell	$2,389,641	$0	$0	$0
323.	Solomon Hill	$2,389,641	$0	$0	$0
323.	Ben McLemore	$2,389,641	$0	$0	$0
323.	Cody Zeller	$2,389,641	$0	$0	$0
329.	Usman Garuba	$2,353,320	$2,471,160	$2,588,400	$4,392,515
329.	Leandro Bolmaro	$2,353,320	$2,471,160	$2,588,400	$4,392,515
331.	Willy Hernangomez	$2,327,220	$2,443,581	$2,559,942	$0
332.	Edmond Sumner	$2,320,000	$0	$0	$0
333.	Nassir Little	$2,316,240	$4,171,548	$6,128,004	$0
334.	RJ Hampton	$2,303,040	$2,412,840	$4,220,057	$6,169,723
335.	DeAndre Bembry	$2,271,045	$0	$0	$0
336.	Josh Christopher	$2,259,240	$2,372,160	$2,485,200	$4,346,615
337.	Monta Ellis	$2,245,400	$0	$0	$0
338.	Drew Eubanks	$2,239,820	$0	$0	$0
339.	Rodney Hood	$2,239,544	$0	$0	$0
339.	Elfrid Payton	$2,239,544	$0	$0	$0
341.	Dylan Windler	$2,239,200	$4,037,277	$5,959,021	$0
342.	Immanuel Quickley	$2,210,640	$2,316,240	$4,171,548	$6,128,004
343.	John Konchar	$2,200,000	$2,300,000	$2,400,000	$0
344.	Quentin Grimes	$2,168,640	$2,277,000	$2,385,720	$4,296,682
345.	Jordan Poole	$2,161,440	$3,901,399	$5,813,084	$0
346.	Bol Bol	$2,161,152	$0	$0	$0
347.	Keldon Johnson	$2,145,720	$3,873,024	$5,809,536	$0
348.	Payton Pritchard	$2,137,440	$2,239,200	$4,037,277	$5,959,021
349.	Jahlil Okafor	$2,130,023	$0	$0	$0
350.	Bones Hyland	$2,096,880	$2,201,520	$2,306,400	$4,158,439
351.	Nemanja Bjelica	$2,089,448	$0	$0	$0
351.	Frank Kaminsky	$2,089,448	$0	$0	$0
351.	Raul Neto	$2,089,448	$0	$0	$0
354.	Udoka Azubuike	$2,075,880	$2,174,880	$3,923,483	$5,818,526
355.	Jaden McDaniels	$2,063,280	$2,161,440	$3,901,399	$5,813,084
356.	Malachi Flynn	$2,048,040	$2,145,720	$3,873,024	$5,809,537
357.	DeMarcus Cousins	$2,038,942	$0	$0	$0
358.	Cam Thomas	$2,036,280	$2,138,160	$2,240,160	$4,041,249
359.	Desmond Bane	$2,033,160	$2,130,240	$3,845,083	$5,767,625
360.	Jaden Springer	$2,023,680	$2,125,200	$2,226,240	$4,018,363
361.	Day'Ron Sharpe	$2,009,160	$2,109,480	$2,210,040	$3,989,122
362.	Jordan McLaughlin	$2,000,000	$2,160,000	$2,320,000	$0
362.	Garrison Mathews	$2,000,000	$2,000,000	$2,000,000	$2,230,253
362.	Jeremiah Robinson-Earl	$2,000,000	$2,000,000	$1,900,000	$1,988,598
362.	Kenrich Williams	$2,000,000	$2,000,000	$0	$0
362.	Theo Maledon	$2,000,000	$1,900,000	$1,930,681	$0
362.	Abdel Nader	$2,000,000	$0	$0	$0
368.	Santiago Aldama	$1,994,520	$2,094,120	$2,194,200	$3,960,531
369.	Damian Jones	$1,977,011	$0	$0	$0
370.	Wesley Matthews	$1,958,495	$0	$0	$0
371.	Timothe Luwawu	$1,939,350	$0	$0	$0
371.	Rodney McGruder	$1,939,350	$0	$0	$0
373.	Moses Brown	$1,933,909	$0	$0	$0
374.	Wesley Iwundu	$1,926,834	$0	$0	$0
375.	Jose Alvarado	$1,925,406	$1,563,518	$1,836,096	$1,988,598
376.	Damion Lee	$1,910,860	$0	$0	$0
376.	PJ Dozier	$1,910,860	$0	$0	$0
378.	Killian Tillie	$1,901,625	$1,901,625	$0	$0
379.	Tyrell Terry	$1,869,438	$2,284,701	$0	$0
380.	Larry Sanders	$1,865,546	$0	$0	$0
381.	Carsen Edwards	$1,859,365	$1,815,677	$0	$0
382.	Shake Milton	$1,846,738	$1,997,718	$0	$0
383.	Jalen Brunson	$1,802,057	$0	$0	$0
383.	Mitchell Robinson	$1,802,057	$0	$0	$0
385.	Tony Bradley	$1,789,256	$2,036,318	$0	$0
385.	Frank Ntilikina	$1,789,256	$2,036,318	$0	$0
385.	Semi Ojeleye	$1,789,256	$0	$0	$0
385.	Malik Monk	$1,789,256	$0	$0	$0
385.	Dennis Smith	$1,789,256	$0	$0	$0
390.	Didi Louzada	$1,786,878	$1,876,222	$1,965,566	$2,057,646
391.	Kevin Porter	$1,782,621	$3,217,631	$4,826,446	$0
391.	Jalen McDaniels	$1,782,621	$1,930,681	$0	$0
391.	Terance Mann	$1,782,621	$1,930,681	$10,576,923	$11,423,077
391.	Jaylen Nowell	$1,782,621	$1,930,681	$0	$0
391.	Naz Reid	$1,782,621	$1,930,681	$0	$0
391.	Isaiah Roby	$1,782,621	$1,930,681	$0	$0
391.	Daniel Gafford	$1,782,621	$1,930,681	$12,402,000	$13,394,160
391.	Nicolas Claxton	$1,782,621	$0	$0	$0
391.	Cody Martin	$1,782,621	$0	$0	$0
391.	Dean Wade	$1,782,621	$1,930,681	$0	$0
391.	Vlatko Cancar	$1,782,621	$0	$0	$0
391.	Bruno Fernando	$1,782,621	$0	$0	$0
391.	Luguentz Dort	$1,782,621	$1,930,681	$0	$0
391.	KZ Okpala	$1,782,621	$0	$0	$0
391.	Eric Paschall	$1,782,621	$0	$0	$0
406.	Chimezie Metu	$1,762,796	$1,910,860	$0	$0
406.	Yuta Watanabe	$1,762,796	$0	$0	$0
408.	Armoni Brooks	$1,739,065	$1,752,638	$0	$0
409.	Thanasis Antetokounmpo	$1,729,217	$1,878,720	$0	$0
409.	Keita Bates-Diop	$1,729,217	$1,878,720	$0	$0
409.	Sviatoslav Mykhailiuk	$1,729,217	$1,878,720	$0	$0
409.	Isaiah Hartenstein	$1,729,217	$0	$0	$0
409.	Moritz Wagner	$1,729,217	$1,878,720	$0	$0
409.	Isaac Bonga	$1,729,217	$0	$0	$0
415.	Juan Toscano-Anderson	$1,701,593	$0	$0	$0
415.	Oshae Brissett	$1,701,593	$1,846,738	$0	$0
417.	Herb Jones	$1,700,000	$1,785,000	$1,836,096	$0
418.	Gabriel Deck	$1,690,507	$0	$0	$0
419.	Javonte Green	$1,669,178	$1,815,677	$0	$0
419.	Max Strus	$1,669,178	$1,815,677	$0	$0
419.	Gabe Vincent	$1,669,178	$1,815,677	$0	$0
419.	Matt Thomas	$1,669,178	$0	$0	$0
419.	Gary Payton II	$1,669,178	$0	$0	$0
424.	Robert Woodard	$1,619,015	$0	$0	$0
