,Name,coeff,Salary
110,Quincy Pondexter,0.26675777919248767,12214970.0
111,Keyon Dooling,0.2653354882688697,8803574.0
112,Jerry Stackhouse,0.26194234824510354,5126334.0
113,Chauncey Billups,0.26031880165305527,35300064.0
114,Jeff Ayres,0.2573117836891084,7452389.0
115,Jon Brockman,0.2537146336395003,6000000.0
116,Nikola Mirotic,0.25326372245054013,32546175.0
117,Daequan Cook,0.24490778932858787,12048096.0
118,Jordan Williams,0.24118106614112775,3707397.0
119,Rodrigue Beaubois,0.23856429521413372,9240266.0
120,DeMarre Carroll,0.23838191862857455,21455640.0
121,Mickael Pietrus,0.237520606444491,13705956.0
122,Josh Smith,0.23416099724594078,53824276.0
123,Julian Wright,0.2328187401300688,17148342.0
124,Alan Anderson,0.23019306134475082,8750344.8
125,Elijah Millsap,0.2290598256867506,3260370.0
126,JaMychal Green,0.2234337273625031,2938062.0
127,George Hill,0.22220394541361624,34394882.0
128,Mirza Teletovic,0.2210039391656437,22780725.0
129,Nikola Pekovic,0.220485694703353,49915800.0
130,Terrence Ross,0.22023505372296356,17384755.5
131,Evan Fournier,0.21845951959009866,9834367.5
132,Mason Plumlee,0.21598626236600083,8142480.0
133,Nenad Krstic,0.21563300569689178,33258696.0
134,John Jenkins,0.21521738900200563,7136442.0
135,Tobias Harris,0.21482016477823643,27468520.8
136,DeMar DeRozan,0.2147827443453017,38792380.0
137,Wesley Matthews,0.21387048899683664,49304260.0
138,Al Harrington,0.21349730400118563,38279600.0
139,Quinton Ross,0.2127604879616312,6200052.0
140,Patty Mills,0.21160855847524984,10790834.0
141,Zydrunas Ilgauskas,0.20970537068482045,8302390.0
142,JR Smith,0.20692848013381662,28983522.0
143,Mike Dunleavy,0.20676325810422433,28504219.0
144,Cartier Martin,0.20399030079258682,4429277.0
145,Paul George,0.1994363303247324,43558119.0
146,Dante Exum,0.19900944152754854,22178160.0
147,Jared Jeffries,0.19847806684718614,5101262.0
148,Pero Antic,0.1981114686507305,7350000.0
149,Steve Blake,0.19797187338501468,20247465.0
150,Brian Cook,0.19204782901925235,6447784.0
151,Cory Jefferson,0.18933562918870142,1671135.0
152,Elfrid Payton,0.18830776584490871,14710680.0
153,Mike Bibby,0.18735039859093833,3849776.0
154,Dwight Powell,0.1872491501992742,4057185.0
155,James Singleton,0.1849254382779623,2666718.0
